Repository Name,Description,Stars,Forks,Watchers,Primary Language,Repo Size (KB),URL
HerokuBot,,1,0,1,JavaScript,54960,https://github.com/NotIncorecc/HerokuBot
Math,,2,0,2,Python,11,https://github.com/NotIncorecc/Math
Miscellaneous,,1,0,1,Python,4,https://github.com/NotIncorecc/Miscellaneous
NexusBot,New Discord app built using node.js,0,0,0,JavaScript,16,https://github.com/NotIncorecc/NexusBot
permutator,,0,0,0,Python,4,https://github.com/NotIncorecc/permutator
RPS,,1,0,1,Python,6,https://github.com/NotIncorecc/RPS
Simple_YT_downloader,uses 'ytdl-core' lib,0,0,0,JavaScript,1,https://github.com/NotIncorecc/Simple_YT_downloader
Test,a working bot repository directly linked to heroku,0,0,0,JavaScript,143,https://github.com/NotIncorecc/Test
v14Bot,Supports slash commands,1,0,1,JavaScript,190,https://github.com/NotIncorecc/v14Bot
